code_region,libelle_region,unnamed:_2,creches_collectives,creches_familiales,multi_accueil_collectif_familial,jardins_enfants,etab_et_services_gestion_parentale,total
84,Auvergne-Rhône-Alpes,,2522,44,40,35,37,2678
27,Bourgogne-Franche-Comté,,665,11,14,1,1,692
53,Bretagne,,660,19,1,4,13,697
24,Centre-Val de Loire,,553,29,5,2,3,592
94,Corse,,91,1,0,0,1,93
44,Grand Est,,1491,30,25,17,34,1597
32,Hauts-de-France,,1514,43,8,26,8,1599
28,Normandie,,676,16,7,4,2,705
75,Nouvelle Aquitaine,,1231,56,21,7,38,1353
76,Occitanie,,1473,42,30,18,6,1569
52,Pays de la Loire,,927,14,11,2,3,957
93,Provence-Alpes-Côte d'Azur,,1485,35,37,22,32,1611
11,Île-de-France,,4160,188,116,58,96,4618
101,Guadeloupe ,,81,0,10,5,0,96
102,Martinique ,,93,0,1,8,0,102
103,Guyane,,47,1,0,6,0,54
104,La Réunion,,410,1,0,8,1,420